RF,SVM,CNN
1.0,0.9938058007790603,0.9999354
1.0,0.9993643122654021,0.9999578
1.0,0.9962808000219653,0.99995947
1.0,0.9992698999711687,0.9999999
1.0,0.9993509323186447,0.9951316
0.99,0.998199770933226,0.9999975
0.6066666666666667,0.9862934229210499,0.99999833
0.9633333333333334,0.9944939321361534,0.999992
1.0,0.9749932429201525,0.9737622
0.42333333333333334,0.8213586621373147,0.9615666
0.9833333333333333,0.9915373004175255,0.9999994
1.0,0.9990491738275413,0.9999982
0.97,0.9919910264458514,0.9998642
0.99,0.994614999190572,0.9999938
1.0,0.9997708476612065,0.9999455
1.0,0.9989182641807701,0.9650364
1.0,0.9976953092315637,0.99999845
0.8233333333333334,0.9599854079405425,0.99993074
1.0,0.9992191541642703,0.9968188
0.9566666666666667,0.9302302583262029,0.99930036
0.93,0.9535746832775877,0.9999976
0.9933333333333333,0.9868701623290576,0.9961647
0.9866666666666667,0.9930452598269802,0.9999999
1.0,0.9901567665482718,0.99998105
0.9866666666666667,0.9936600657412761,0.99999523
0.9966666666666667,0.9768669434043249,0.9999976
0.8966666666666666,0.9881047651681019,0.9999963
1.0,0.9994528184053927,0.9999255
0.9866666666666667,0.9910852650373013,0.9997545
0.91,0.9777910934275447,0.99999547
1.0,0.9986574748752194,0.98853636
1.0,0.9986196435752386,0.99999964
0.99,0.9504183930388564,0.9999994
0.92,0.9727662707311862,0.99999976
0.9333333333333333,0.9999919030148416,0.99999714
1.0,0.9937851219558481,0.99995005
0.9866666666666667,0.8217036848319178,0.9999901
0.99,0.9930142201904181,0.9999999
0.9733333333333334,0.9991812183105757,0.9999993
1.0,0.9989407871865561,0.9609589
1.0,0.9995295847299149,0.95636815
1.0,0.9999996119370271,0.9999937
1.0,0.9801665543933626,0.98451066
0.9633333333333334,0.950473703929586,1.0
0.9966666666666667,0.9991126068768988,0.9998287
1.0,0.9756294389456418,0.99984884
0.9766666666666667,0.9954723869512564,0.9639255
1.0,0.9816145885884915,0.9999989
1.0,0.988886986295457,0.9999994
0.9433333333333334,0.930709267054579,0.99994767
1.0,0.9879678686278944,0.999984
1.0,0.963675978773874,0.99574983
0.63,0.5708064855402402,0.99999845
0.99,0.9976715961179995,0.99997294
0.91,0.9554201454834811,0.99959284
0.47333333333333333,0.5901141290827078,0.99992657
0.95,0.988884123712202,0.99999976
0.9966666666666667,0.9736770615268756,0.9998047
0.9733333333333334,0.969802185260432,0.9997328
1.0,0.9832442331029295,0.9951321
1.0,0.9987075049172703,0.99997747
0.9866666666666667,0.9995549028625573,0.97145456
1.0,0.9994093864676515,0.9999368
1.0,0.9985225061459148,1.0
0.83,0.6966862778302197,0.95152617
1.0,0.9999250989278455,0.9998265
0.5266666666666666,0.6780844962438247,1.0
0.9933333333333333,0.992403486615389,0.9987134
1.0,0.9991148008485197,0.99985206
0.9933333333333333,0.9942885311749631,0.9999999
0.9966666666666667,0.9991064207520568,0.9999889
1.0,0.9999808669908846,0.9999598
0.99,0.9995084760549868,0.999962
0.8033333333333333,0.9826503604509883,0.99993145
1.0,0.9820087574884514,0.99978787
0.98,0.9508638247376343,0.9999987
0.99,0.9966805613471507,0.99999166
0.8466666666666667,0.9294365275532661,0.9995621
1.0,0.9990464974306167,0.96699
1.0,0.9934683038520888,0.9999999
1.0,0.9799052053333768,0.99966955
0.9933333333333333,0.9934253533684747,0.9999964
1.0,0.9982187496329734,0.99999976
1.0,0.9999681472374997,0.9984792
0.5633333333333334,0.500326680801207,0.99999976
0.8433333333333334,0.602119434119996,0.9998779
0.8266666666666667,0.994186564373637,0.9999993
0.9133333333333333,0.5449357764051356,0.9479626
0.9866666666666667,0.9999828983481349,0.9999995
0.4866666666666667,0.8046655014775305,0.99999845
1.0,0.9983218246459622,0.99994504
1.0,0.9978413616029387,0.9759502
0.8866666666666667,0.9841610350199381,0.99983406
0.9666666666666667,0.9473446269137793,0.99992216
0.9766666666666667,0.9962039251612227,0.99990904
1.0,0.9932482360753137,0.9999995
1.0,0.999660046286698,0.9994522
1.0,0.9966904001101916,0.99984705
0.85,0.920904503224038,0.99959296
0.96,0.965905322772471,0.99485344
0.9866666666666667,0.8841818248511821,0.9999995
0.9566666666666667,0.9913148333529712,0.9999994
0.9166666666666666,0.990080642496394,0.9690516
1.0,0.9940215686476387,0.9999807
0.8966666666666666,0.874873389177609,0.9999988
0.9366666666666666,0.9630840565985151,0.99593264
0.9366666666666666,0.9951386514281934,0.9999585
0.68,0.9467271785863621,0.99999475
0.9833333333333333,0.9327080927837719,0.9968568
0.9833333333333333,0.9990664107875634,0.9999851
0.9966666666666667,0.9869739159145308,0.9999902
0.91,0.9792037809589305,0.9992932
1.0,0.9999943560552167,0.99982613
0.97,0.9309174293693617,0.9999753
0.9866666666666667,0.9558112492378172,0.9999968
0.44666666666666666,0.7467048364077911,0.99989057
0.99,0.9993140751933194,0.9999968
0.9166666666666666,0.9721348090179522,0.9999999
0.9633333333333334,0.9225035429546539,0.9999591
1.0,0.9998294368485979,0.99994564
0.6233333333333333,0.8647544675285819,0.9999907
1.0,0.99998272091696,0.9603573
1.0,0.9989625454066368,0.9999722
1.0,0.9990154564978276,0.95778286
0.9966666666666667,0.9658629448593139,0.9999869
0.99,0.9999612950603843,0.98825246
0.9966666666666667,0.9975546580386291,0.9999974
0.95,0.9578497665822413,0.9999987
0.9266666666666666,0.9568254462552696,0.999982
0.9933333333333333,0.9995940291198884,0.99991393
0.9933333333333333,0.9999357282544699,0.99999857
0.9566666666666667,0.9329509676311476,0.9985942
0.8766666666666667,0.8490652037763935,0.98556834
0.9966666666666667,0.9697213845473982,0.99998975
1.0,0.998395462812641,0.9695248
0.93,0.9890590169315027,1.0
1.0,0.992274943654457,0.96423054
0.9966666666666667,0.940435746548513,0.99939215
0.75,0.9678303702300819,0.9485822
1.0,0.9966987541053681,0.99994826
1.0,0.9971806800456002,0.99995506
0.89,0.9712102343802126,0.9999713
0.7566666666666667,0.9215824943609119,1.0
0.3933333333333333,0.7030581729982668,0.99943525
1.0,0.9949666049668554,0.99999464
0.9966666666666667,0.9993911651389792,0.99999714
1.0,0.9999911119922674,0.99999964
1.0,0.9988200095191738,0.9999434
0.51,0.5085664791456515,0.99999964
1.0,0.9427374768487699,0.99999905
1.0,0.9992449238853545,0.99999535
1.0,0.9872773882481863,0.88252497
0.4066666666666667,0.6996184196890306,0.9999659
1.0,0.9999408390559302,0.9997008
0.9966666666666667,0.9961162184413276,0.9999746
1.0,0.9985746651568714,0.9971283
0.57,0.6971186118724012,0.99939144
0.9866666666666667,0.9999254812130512,0.9701282
0.9766666666666667,0.9971660217784197,0.99995613
0.98,0.9402525335648368,0.9997136
0.9966666666666667,0.9938507527107923,0.9999999
1.0,0.9996210290330809,0.999884
1.0,0.9885554653539081,0.9999484
1.0,0.998915192081829,0.99988866
0.8333333333333334,0.9792450936792679,1.0
0.9966666666666667,0.9808292527284065,0.99999714
0.9733333333333334,0.944443819376933,0.99999857
1.0,0.9410272596962581,0.9997247
1.0,0.9963653226955195,0.9900531
1.0,0.9939929210189932,0.9999901
0.9666666666666667,0.987401566827711,0.9728536
0.9933333333333333,0.9946448567614822,0.96764237
0.9933333333333333,0.9937242814500837,0.9999913
0.9866666666666667,0.9999719023789283,0.9999392
1.0,0.9781065415836752,0.5003596
0.9466666666666667,0.9240029163094273,0.9999403
1.0,0.9988759547392211,0.999995
0.9433333333333334,0.9433184546145172,1.0
0.9666666666666667,0.8706708340038941,0.99960715
1.0,0.9928897307401086,0.9999974
0.99,0.9999759244949278,0.9999386
1.0,0.9790954961915442,0.9716513
1.0,0.993391979786998,0.99994564
1.0,0.9999999315236859,0.9999831
1.0,0.9915792652149404,0.9999895
0.6066666666666667,0.5478437233977441,0.99995565
1.0,0.9986538603672582,0.999998
0.9466666666666667,0.999187501258172,0.9638427
0.9966666666666667,0.9959187621412384,0.9999944
0.8966666666666666,0.7419566880399381,0.9999442
0.8966666666666666,0.9773127817305822,0.9999988
1.0,0.999999735459545,0.9999999
1.0,0.999617165832121,0.9999591
0.9966666666666667,0.959488567144242,0.99997795
0.8333333333333334,0.9999981130754599,0.96820426
0.9933333333333333,0.982596021443533,0.99998605
0.9966666666666667,0.9997402193981045,0.99996436
0.97,0.9852426110369544,0.99999404
0.9966666666666667,0.988591773346536,0.99994016
1.0,0.9959494077478216,0.9999752
0.42,0.7674839068436449,0.96252495
0.9966666666666667,0.9992437987209294,0.9999989
0.9733333333333334,0.862857823740527,0.9999825
0.9966666666666667,0.9903432634490568,0.9820056
0.9966666666666667,0.9944754926496491,0.999995
0.9233333333333333,0.947326074908905,0.9999628
0.9466666666666667,0.9999654182121169,0.9993236
0.7766666666666666,0.8967154355870905,0.9998271
1.0,0.9909986762291595,0.9626988
0.9933333333333333,0.9996892333179522,0.8327633
1.0,0.9990716517734799,0.9995931
1.0,0.9099275866643689,0.9665781
1.0,0.9689780607393148,0.9852358
0.9733333333333334,0.8705226202073107,0.99997973
0.49666666666666665,0.5264937609839897,0.9999521
0.9733333333333334,0.9987939340402112,0.9999895
1.0,0.9996373347085553,0.9999511
0.9866666666666667,0.9638988469488432,0.9999697
0.9833333333333333,0.950072587860181,0.9999436
0.97,0.9999858725340874,0.9999416
1.0,0.9797752677527263,0.9999982
0.8366666666666667,0.9458004555219537,0.99989974
0.9966666666666667,0.9981608650128497,0.9767113
1.0,0.9999838379341603,0.99339324
1.0,0.9985123366036992,0.9957146
0.99,0.9950497466197471,0.9999931
