Threshold,Accepted,Rejected,AcceptedAccuracy,RejectionRate,Precision,Recall,F1
0.5,17837,163,0.9612042383808936,0.009055555555555556,0.9612108930570927,0.9612042383808936,0.9611177464780772
0.51,17797,203,0.9622408271056919,0.011277777777777777,0.9622570134105908,0.9622408271056919,0.9621580404843302
0.52,17763,237,0.9632381917468896,0.013166666666666667,0.963253831756752,0.9632381917468896,0.9631555344110991
0.53,17734,266,0.9640239088756062,0.014777777777777779,0.9640371650912226,0.9640239088756062,0.9639393112833765
0.54,17705,295,0.9648121999435187,0.01638888888888889,0.9648355151011013,0.9648121999435187,0.9647368399965025
0.55,17667,333,0.9658119658119658,0.0185,0.9658555678918913,0.9658119658119658,0.9657477614730625
0.56,17652,348,0.9660095173351462,0.019333333333333334,0.966049844267504,0.9660095173351462,0.9659419703641713
0.5700000000000001,17616,384,0.9671321525885559,0.021333333333333333,0.9671832496820035,0.9671321525885559,0.9670708192268535
0.5800000000000001,17577,423,0.9683108607839791,0.0235,0.968389252764499,0.9683108607839791,0.9682641070216316
0.5900000000000001,17543,457,0.9691044861198199,0.025388888888888888,0.9691631456929839,0.9691044861198199,0.9690502200817808
0.6000000000000001,17515,485,0.9697973165857836,0.026944444444444444,0.9698525954551467,0.9697973165857836,0.9697420739095615
0.6100000000000001,17473,527,0.9709265724260288,0.029277777777777778,0.9709805924907439,0.9709265724260288,0.9708717309816121
0.6200000000000001,17439,561,0.971558002179024,0.031166666666666665,0.9716099518323253,0.971558002179024,0.9715001373803046
0.6300000000000001,17407,593,0.9721376457746883,0.03294444444444444,0.9721864795882722,0.9721376457746883,0.972077741110803
0.6400000000000001,17366,634,0.9730507888978464,0.035222222222222224,0.9730940944184052,0.9730507888978464,0.9729936717974471
0.6500000000000001,17321,679,0.9739622423647596,0.03772222222222222,0.9739820253180868,0.9739622423647596,0.9739018722319072
0.6600000000000001,17281,719,0.9745385105028644,0.03994444444444444,0.9745570424350444,0.9745385105028644,0.9744783936849843
0.6700000000000002,17230,770,0.9755658734764945,0.042777777777777776,0.9755893396118744,0.9755658734764945,0.9755059373678625
0.6800000000000002,17181,819,0.9764274489261393,0.0455,0.9764505694622608,0.9764274489261393,0.9763640467903745
0.6900000000000002,17140,860,0.9773045507584598,0.04777777777777778,0.9773350135250777,0.9773045507584598,0.9772426541239456
0.7000000000000002,17094,906,0.978003978003978,0.050333333333333334,0.9780442479611797,0.978003978003978,0.9779477079768953
0.7100000000000002,17052,948,0.9787121745249824,0.05266666666666667,0.9787633901581517,0.9787121745249824,0.9786638721443082
0.7200000000000002,17004,996,0.9794754175488121,0.05533333333333333,0.97953769481298,0.9794754175488121,0.9794354449365215
0.7300000000000002,16952,1048,0.9803563001415763,0.058222222222222224,0.9804166645272842,0.9803563001415763,0.9803158042462502
0.7400000000000002,16913,1087,0.9808431384142375,0.06038888888888889,0.9809115238073726,0.9808431384142375,0.9808067814913863
0.7500000000000002,16860,1140,0.9816725978647687,0.06333333333333334,0.9817442427378611,0.9816725978647687,0.9816356948744528
0.7600000000000002,16819,1181,0.9821035733396754,0.0656111111111111,0.9821864233289136,0.9821035733396754,0.982072171594254
0.7700000000000002,16767,1233,0.9825251983061967,0.0685,0.9826134227290543,0.9825251983061967,0.9824969404546284
0.7800000000000002,16710,1290,0.9830640335128665,0.07166666666666667,0.9831601429758262,0.9830640335128665,0.9830380205484948
0.7900000000000003,16648,1352,0.9839620374819799,0.07511111111111111,0.9840677273371097,0.9839620374819799,0.9839399630597493
0.8000000000000003,16600,1400,0.9843373493975903,0.07777777777777778,0.9844477611923481,0.9843373493975903,0.9843141015838992
0.8100000000000003,16541,1459,0.9847046732362009,0.08105555555555556,0.9848194266981347,0.9847046732362009,0.984683055548617
0.8200000000000003,16461,1539,0.9852985845331389,0.0855,0.9854173057391867,0.9852985845331389,0.9852765447781792
0.8300000000000003,16382,1618,0.9857160297887926,0.0898888888888889,0.9858331397936289,0.9857160297887926,0.9856910633953306
0.8400000000000003,16306,1694,0.9862013982583098,0.09411111111111112,0.9863250458440532,0.9862013982583098,0.9861814012665614
0.8500000000000003,16239,1761,0.9865755280497568,0.09783333333333333,0.9867059480705022,0.9865755280497568,0.9865593203658659
0.8600000000000003,16143,1857,0.9869912655640215,0.10316666666666667,0.9871215065341304,0.9869912655640215,0.9869763242022623
0.8700000000000003,16050,1950,0.9874766355140187,0.10833333333333334,0.9876086445662733,0.9874766355140187,0.9874654243477623
0.8800000000000003,15947,2053,0.9879601178905123,0.11405555555555555,0.9880957244205024,0.9879601178905123,0.9879524734295821
0.8900000000000003,15799,2201,0.9884169884169884,0.12227777777777778,0.988556720330366,0.9884169884169884,0.9884079750380056
0.9000000000000004,15672,2328,0.9886421643695763,0.12933333333333333,0.9887859840028025,0.9886421643695763,0.9886344111358558
0.9100000000000004,15516,2484,0.9890435679298788,0.138,0.9891891784999776,0.9890435679298788,0.9890369445579578
